Attraction,Region,County,District,CRU,Postcode,Category,Visitors_2018,Visitors_2019,Visitors_2020,Visitors_2021,Visitors_2022,Visitors_2023,Estimate?,Visitor admission brackets,% change in admissions 2022 to 2023,% change in admissions 2019 to 2023,Charging,Charge band
Grizedale Forest Visitor Centre,North West,Cumbria,South Lakeland,Rural,,Country Park,Not available,Not available,Not available,171384,139970,150718,Exact,"100,001-200,000",8%,Not available,Yes,Not available
Fineshade Wood,East Midlands,Northamptonshire,,Rural,,Country Park,Not available,Not available,Not available,164284,136180,132154,Exact,"100,001-200,000",-3%,Not available,Yes,Not available
MAKE Southwest,South West,Devon,Teignbridge,Rural,TQ13 9AF,Museum and/or Art Gallery,Not available,Not available,Not available,160000,80000,90000,An Estimate,"50,001-100,000",13%,Not available,No,Not Applicable
Brandon Country Park,East of England,Suffolk ,Brandon,Rural,,Country Park,Not available,Not available,Not available,155470,132411,107502,An Estimate,"100,001-200,000",-19%,Not available,No,Not Applicable
Eureka! The National Children's Museum,Y&H,West Yorkshire,Calderdale,Urban,HX1 2NE,Science / Technology Centre,Not available,Not available,Not available,149062,278398,365712,Exact,"Over 200,000",31%,Not available,Yes,£15 or Over
The Tank Museum,South West,Dorset,Purbeck,Rural,BH20 6JG,Museum and/or Art Gallery,Not available,Not available,Not available,140746,191063,223587,Exact,"Over 200,000",17%,Not available,Yes,£15 or Over
Bishop's Palace and Gardens,South West,Somerset,Mendip,Urban,BA5 2PD,Historic House/ House and Garden / Palace,Not available,Not available,Not available,140000,124161,125308,Exact,"100,001-200,000",1%,Not available,Yes,£15 or Over
Glastonbury Abbey,South West,Somerset,Mendip,Rural,BA6 8DH,Historic Monument / Archaeological Site,Not available,Not available,Not available,115715,152627,179685,Exact,"100,001-200,000",18%,Not available,Yes,£10.00-£14.99
RSPB Bempton Cliffs Reserve,Y&H,East Riding of Yorkshire,,Coastal,YO15 1JF,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,Not available,108601,110444,119069,An Estimate,"100,001-200,000",8%,Not available,Yes,£5.00-£7.49
Hicks Lodge,East Midlands,Derbyshire,South Derbyshire,Rural,,Country Park,Not available,Not available,Not available,105240.6593,95769,142431,Exact,"100,001-200,000",49%,Not available,Yes,Not available
Blists Hill Victorian Town,West Midlands,Shropshire,Telford,Coastal,,Museum and/or Art Gallery,Not available,Not available,Not available,104133.0709,132249,165604,,"100,001-200,000",25%,Not available,Yes,£15 or Over
Cleethorpes Coast Light Railway,East Midlands,Lincolnshire,North East Lincolnshire,Coastal,DN35 0AG,Steam  / Heritage Railway,Not available,Not available,Not available,100000,80000,75000,An Estimate,"50,001-100,000",-6%,Not available,Yes,£5.00-£7.49
Crich Tramway Village,East Midlands,Derbyshire,Amber Valley,Rural,DE4 5DP,Other Historic / Scenic Transport Operator,Not available,Not available,Not available,99000,95777,116609,Exact,"100,001-200,000",22%,Not available,Yes,£15 or Over
The Wellcome Collection,London,Greater London,Camden,Urban,NW1 2BE,Museum and/or Art Gallery,Not available,Not available,Not available,97471.75325,300213,414957,Exact,"Over 200,000",38%,Not available,No,Not Applicable
Housesteads Visitors Centre,North East,Northumberland,,Rural,NE47 6NN,Historic Monument / Archaeological Site,Not available,Not available,Not available,96312,96426,104128,Exact,"100,001-200,000",8%,Not available,Yes,£7.50-£9.99
Salisbury Cathedral,South West,Wiltshire,,Urban,SP1 2EN,Place of Worship (still in use),Not available,Not available,Not available,92011,194552,257364,Exact,"Over 200,000",32%,Not available,Yes,£10.00-£14.99
Design Museum,London,Greater London,Southwark,Urban,,Museum and/or Art Gallery,Not available,Not available,Not available,83229.7561,511863,633312,,"Over 200,000",24%,Not available,No,Not Applicable
Durlston Country Park National Nature Reserve,South West,Dorset,Purbeck,Coastal,BH19 2JL,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,Not available,78000,250000,250000,An Estimate,"Over 200,000",0%,Not available,No,Not Applicable
Gisburn Forest,North West,Lancashire,,Rural,,Country Park,Not available,Not available,Not available,76315,80566,78453,Exact,"50,001-100,000",-3%,Not available,Yes,Not available
British Motor Museum,East Midlands,Warwickshire,Stratford-on-Avon,Rural,CV35 0BJ,Museum and/or Art Gallery,Not available,Not available,Not available,71166,118081,143233,Exact,"100,001-200,000",21%,Not available,Yes,£15 or Over
Little owl farm park,West Midlands,Worcestershire,Wyre Forest,Rural,DY13 9SS,Farm / Rare Breeds / Farm Animals,Not available,Not available,Not available,66381,81470,91401,Exact,"50,001-100,000",12%,Not available,Yes,£10.00-£14.99
The Hepworth Wakefield,Y&H,West Yorkshire,WAKEFIELD,Urban,WF1 5AW,Museum and/or Art Gallery,Not available,Not available,Not available,61801,67645,79986,Exact,"50,001-100,000",18%,Not available,Yes,£10.00-£14.99
Chesterfield Parish Church (Crooked Spire),East Midlands,Derbyshire,Chesterfield,Urban,S40 1XJ,Place of Worship (still in use),Not available,Not available,Not available,59401,82676,90767,Exact,"50,001-100,000",10%,Not available,No,Not Applicable
Ludlow Castle,West Midlands,Shropshire,,Rural,SY8 1AY,Castle / Fort,Not available,Not available,Not available,56704,71072,68720,Exact,"50,001-100,000",-3%,Not available,Yes,£7.50-£9.99
Manchester Craft and Design Centre,North West,Greater Manchester,Manchester,Urban,M4 5JD,Industrial / Craft Workplace,Not available,Not available,Not available,56687,102977,134013,Exact,"100,001-200,000",30%,Not available,No,Not Applicable
Worcester City Art Gallery & Museum,West Midlands,Worcestershire,Worcester,Urban,WR1 1DT,Museum and/or Art Gallery,Not available,Not available,Not available,52161,61867,71733,Exact,"50,001-100,000",16%,Not available,No,Not Applicable
Torquay's Dinosaur World,South West,Devon,Torbay,Coastal,TQ1 2BB,Museum and/or Art Gallery,Not available,Not available,Not available,50042,37000,38000,An Estimate,"20,001-50,000",3%,Not available,Yes,£5.00-£7.49
RSPB Leighton Moss Nature Reserve,North West,Lancashire,Lancaster,Coastal,LA5 0SW,Nature Reserve / Wetlands / Wildlife Trips,Not available,Not available,Not available,49835,85218,92343,Exact,"50,001-100,000",8%,Not available,Yes,£7.50-£9.99
Acorn Farm,North West,Merseyside,Knowsley,Urban,L33 3AR,Farm / Rare Breeds / Farm Animals,Not available,Not available,Not available,47114,92979,84195,Exact,"50,001-100,000",-9%,Not available,Yes,£3.00- £4.99
